pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_eqt,st_spectype,st_teff,disc_pubdate,pl_orbsmax
"Kepler-6 b","Kepler-6",13.380,,3.23469931,,,5690.00,"2010-04",
"Kepler-6 b","Kepler-6",13.316,,3.23469440,1.37457422722e+03,,5613.00,"2010-04",
"Kepler-6 b","Kepler-6",14.617,212.31044,3.23469960,1.46000000000e+03,,5647.00,"2010-04",0.048520
"Kepler-6 b","Kepler-6",13.410,,3.23469931,1.35500000000e+03,,5640.00,"2010-04",0.043500
"Kepler-6 b","Kepler-6",13.410,,3.23469931,1.35500000000e+03,,5640.00,"2010-04",0.043500
"Kepler-6 b","Kepler-6",12.902,,,,,5660.00,"2010-04",
"Kepler-6 b","Kepler-6",,,3.23469930,,,5647.00,"2010-04",
"Kepler-6 b","Kepler-6",,,3.23469928,,,5613.00,"2010-04",
"Kepler-6 b","Kepler-6",13.103,201.18639,3.23470200,1.45100000000e+03,,5647.00,"2010-04",0.044380
"Kepler-6 b","Kepler-6",13.103,205.63601,3.23469940,,,5647.00,"2010-04",0.044480
"Kepler-6 b","Kepler-6",13.060,,3.23469928,1.35600000000e+03,,5640.00,"2010-04",0.043500
"Kepler-6 b","Kepler-6",13.101,,3.23469931,,,5660.00,"2010-04",0.044080
"Kepler-6 b","Kepler-6",,,3.23469918,,,5613.00,"2010-04",
"Kepler-6 b","Kepler-6",,,3.23469940,,,5613.00,"2010-04",
"Kepler-6 b","Kepler-6",14.830,212.61900,3.23472300,1.50000000000e+03,,5647.00,"2010-04",0.045670
"Kepler-6 b","Kepler-6",13.410,,3.23469931,1.35500000000e+03,,5640.00,"2010-04",0.043500
"Kepler-6 b","Kepler-6",11.070,,3.23469955,1.26000000000e+03,,5826.00,"2010-04",0.045000
"Kepler-6 b","Kepler-6",,,3.23469900,,,5647.00,"2010-04",
"Kepler-491 b","Kepler-491",10.000,,4.22538460,1.15700000000e+03,,5541.00,"2016-05",0.052000
"Kepler-491 b","Kepler-491",9.160,,4.22538451,1.11800000000e+03,,5649.00,"2016-05",0.052400
"Kepler-491 b","Kepler-491",9.160,,4.22538451,1.11800000000e+03,,5649.00,"2016-05",0.052400
"Kepler-491 b","Kepler-491",,,4.22538411,,,5501.00,"2016-05",
"Kepler-491 b","Kepler-491",9.160,,4.22538451,1.11800000000e+03,,5649.00,"2016-05",0.052400
"Kepler-491 b","Kepler-491",8.920,,4.22538451,,,5582.00,"2016-05",
"Kepler-491 b","Kepler-491",8.547,,4.22538451,,,5522.00,"2016-05",0.051910
"Kepler-491 b","Kepler-491",8.889,,4.22534983,1.09703862802e+03,,5501.00,"2016-05",
"Kepler-491 b","Kepler-491",8.523,,,,,5522.00,"2016-05",
"Kepler-491 b","Kepler-491",,,4.22538454,,,5501.00,"2016-05",
"Kepler-491 b","Kepler-491",9.000,,4.22538454,1.11100000000e+03,,5574.00,"2016-05",0.051600
"Kepler-257 b","Kepler-257",2.740,,2.38265287,1.23700000000e+03,,5188.00,"2014-03",0.033300
"Kepler-257 b","Kepler-257",2.670,,2.38265217,1.23700000000e+03,,5188.00,"2014-03",0.033300
"Kepler-257 b","Kepler-257",,,2.38265264,,,4972.00,"2014-03",
"Kepler-257 b","Kepler-257",2.201,,2.38265217,,,5118.00,"2014-03",0.033910
"Kepler-257 b","Kepler-257",,,2.38265287,,,4972.00,"2014-03",
"Kepler-257 b","Kepler-257",2.610,,2.38266700,,,5180.00,"2014-03",0.034000
"Kepler-257 b","Kepler-257",,,2.38264321,,,4972.00,"2014-03",
"Kepler-257 b","Kepler-257",2.670,,2.38265217,1.23700000000e+03,,5188.00,"2014-03",0.033300
"Kepler-257 b","Kepler-257",2.000,,2.38266600,1.07900000000e+03,,5058.00,"2014-03",0.032000
"Kepler-257 b","Kepler-257",2.670,,2.38265217,1.23700000000e+03,,5188.00,"2014-03",0.033300
"Kepler-257 b","Kepler-257",2.220,,2.38265217,,,5209.00,"2014-03",
"Kepler-216 b","Kepler-216",2.120,,7.69363627,1.06900000000e+03,,6086.00,"2014-03",0.076700
"Kepler-216 b","Kepler-216",1.910,,7.69364042,1.00300000000e+03,,6277.00,"2014-03",0.078500
"Kepler-216 b","Kepler-216",2.350,,7.69364100,,,6091.00,"2014-03",0.079000
"Kepler-216 b","Kepler-216",,,7.69362068,,,6093.45,"2014-03",
"Kepler-216 b","Kepler-216",,,7.69363627,,,6093.45,"2014-03",
"Kepler-216 b","Kepler-216",,,7.69357196,,,6093.45,"2014-03",
"Kepler-216 b","Kepler-216",2.230,,7.69364042,,,6142.00,"2014-03",
"Kepler-216 b","Kepler-216",1.960,,7.69349100,1.00800000000e+03,,6278.00,"2014-03",0.079000
"Kepler-216 b","Kepler-216",1.910,,7.69364042,1.00300000000e+03,,6277.00,"2014-03",0.078500
"Kepler-216 b","Kepler-216",2.867,,7.69364042,,,6119.00,"2014-03",0.079400
"Kepler-216 b","Kepler-216",1.910,,7.69364042,1.00300000000e+03,,6277.00,"2014-03",0.078500
"Kepler-216 b","Kepler-216",2.765,,,,,6119.00,"2014-03",
"Kepler-32 c","Kepler-32",2.370,,8.75210645,,,3903.00,"2012-05",
"Kepler-32 c","Kepler-32",2.000,158.90000,8.75220000,,,3900.00,"2012-05",0.090000
"Kepler-32 c","Kepler-32",2.000,,8.75220000,4.70000000000e+02,"M1 V",3793.00,"2012-05",0.067000
"Kepler-32 c","Kepler-32",1.830,,8.75209691,4.51000000000e+02,,3731.00,"2012-05",0.066400
"Kepler-32 c","Kepler-32",,,8.75209691,,,3791.00,"2012-05",
"Kepler-32 c","Kepler-32",1.980,,8.75208025,,,3791.00,"2012-05",
"Kepler-32 c","Kepler-32",2.020,7.70000,8.75200000,,,,"2012-05",
"Kepler-32 c","Kepler-32",,,8.75208271,,,3791.00,"2012-05",
"Kepler-32 c","Kepler-32",2.112,,,,,3731.00,"2012-05",
